af	afr_Latn_ZA	afr
ang	ang_Latn_XX	ang_Latn
ar	ara_Arab_XX	ara
ast	ast_Latn_ES	ast
az	aze_Latn_XX	aze_Latn
be	bel_Cyrl_BY	bel
bg	bul_Cyrl_BG	bul
bn	ben_Beng_BD	ben
br	bre_Latn_FR	bre
bs	bos_Latn_BA	bos_Latn
ca	cat_Latn_ES	cat
ceb	ceb_Latn_PH	ceb
co	cos_Latn_FR	cos
cs	ces_Latn_CZ	ces
cy	cym_Latn_GB	cym
da	dan_Latn_DK	dan
de	deu_Latn_DE	deu
el	ell_Grek_GR	ell
en	eng_Latn_US	eng
eo	epo_Latn_XX	epo
es	spa_Latn_ES	spa
et	est_Latn_EE	est
eu	eus_Latn_ES	eus
fa	fas_Arab_IR	fas
fi	fin_Latn_FI	fin
fr	fra_Latn_FR	fra
fy	fry_Latn_NL	fry
ga	gle_Latn_IE	gle
gl	glg_Latn_ES	glg
gu	guj_Gujr_IN	guj
he	heb_Hebr_IL	heb
hr	hrv_Latn_HR	hrv
hu	hun_Latn_HU	hun
hy	hye_Armn_AM	hye
ia	ina_Latn_XX	ina_Latn
id	ind_Latn_ID	ind
ilo	ilo_Latn_PH	ilo
it	ita_Latn_IT	ita
ka	kat_Geor_GE	kat
kk	kaz_Cyrl_KZ	kaz_Cyrl
ko	kor_Zyyy_KR	kor
lb	ltz_Latn_LU	ltz
lt	lit_Latn_LT	lit
lv	lav_Latn_LV	lav
mk	mkd_Cyrl_MK	mkd
ml	mal_Mlym_IN	mal
mr	mar_Deva_IN	mar
ms	msa_Latn_MY	msa_Latn
mt	mlt_Latn_MT	mlt
nb	nob_Latn_NO	nob
nds	nds_Latn_DE	nds
nl	nld_Latn_NL	nld
nn	nno_Latn_NO	nno
no	nor_Latn_NO	nor
pl	pol_Latn_PL	pol
pt	por_Latn_PT	por
ro	ron_Latn_RO	ron
ru	rus_Cyrl_RU	rus
sa	san_Deva_IN	san_Deva
sah	sah_Cyrl_RU	sah
sk	slk_Latn_SK	slk
sl	slv_Latn_SI	slv
sq	sqi_Latn_AL	sqi
sr_Cyrl	srp_Cyrl_RS	srp_Cyrl
sr_Latn	srp_Latn_RS	srp_Latn
sv	swe_Latn_SE	swe
sw	swa_Latn_TZ	swa
ta	tam_Taml_IN	tam
te	tel_Telu_IN	tel
th	tha_Thai_TH	tha
tl	tgl_Latn_XX	tgl_Latn
tr	tur_Latn_TR	tur
uk	ukr_Cyrl_UA	ukr
ur	urd_Arab_PK	urd
uz	uzb_Latn_XX	uzb_Latn
vi	vie_Latn_VN	vie
war	war_Latn_PH	war
wo	wol_Latn_SN	wol
zh	zho_Hans_XX	zho_Hans
zh_Hans	zho_Hans_CN	zho_Hans
zh_Hant	zho_Hant_TW	zho_Hant
