ar	ara_Arab_XX	ara
as	asm_Beng_IN	asm
az	aze_Latn_XX	aze_Latn
be	bel_Cyrl_BY	bel
bg	bul_Cyrl_BG	bul
bn	ben_Beng_BD	ben
br	bre_Latn_FR	bre
bs	bos_Latn_BA	bos_Latn
ca	cat_Latn_ES	cat
cs	ces_Latn_CZ	ces
cy	cym_Latn_GB	cym
da	dan_Latn_DK	dan
de	deu_Latn_DE	deu
el	ell_Grek_GR	ell
en	eng_Latn_US	eng
eo	epo_Latn_XX	epo
es	spa_Latn_ES	spa
et	est_Latn_EE	est
eu	eus_Latn_ES	eus
fa	fas_Arab_IR	fas
fi	fin_Latn_FI	fin
fo	fao_Latn_FO	fao
fr	fra_Latn_FR	fra
gl	glg_Latn_ES	glg
gu	guj_Gujr_IN	guj
hr	hrv_Latn_HR	hrv
ht	hat_Latn_HT	hat
hu	hun_Latn_HU	hun
hy	hye_Armn_AM	hye
id	ind_Latn_ID	ind
it	ita_Latn_IT	ita
kn	kan_Knda_IN	kan
ko	kor_Zyyy_KR	kor
lt	lit_Latn_LT	lit
mk	mkd_Cyrl_MK	mkd
ml	mal_Mlym_IN	mal
mr	mar_Deva_IN	mar
nb	nob_Latn_NO	nob
nl	nld_Latn_NL	nld
no	nor_Latn_NO	nor
or	ori_Orya_IN	ori
pa	pan_Guru_XX	pan_Guru
pl	pol_Latn_PL	pol
pms	pms_Latn_XX	pms
pt	por_Latn_PT	por
ro	ron_Latn_RO	ron
ru	rus_Cyrl_RU	rus
sa	san_Deva_IN	san_Deva
sah	sah_Cyrl_RU	sah
sk	slk_Latn_SK	slk
sl	slv_Latn_SI	slv
sr_Cyrl	srp_Cyrl_RS	srp_Cyrl
sv	swe_Latn_SE	swe
ta	tam_Taml_IN	tam
te	tel_Telu_IN	tel
th	tha_Thai_TH	tha
tr	tur_Latn_TR	tur
uk	ukr_Cyrl_UA	ukr
vec	vec_Latn_XX	vec
vi	vie_Latn_VN	vie
yi	yid_Hebr_XX	yid
zh_Hans	zho_Hans_CN	zho_Hans
zh_Hant	zho_Hant_TW	zho_Hant
