bg	bul_Cyrl_BG	bul
bs	bos_Latn_BA	bos_Latn
ca	cat_Latn_ES	cat
cs	ces_Latn_CZ	ces
da	dan_Latn_DK	dan
de	deu_Latn_DE	deu
el	ell_Grek_GR	ell
en	eng_Latn_US	eng
es	spa_Latn_ES	spa
et	est_Latn_EE	est
eu	eus_Latn_ES	eus
fi	fin_Latn_FI	fin
fr	fra_Latn_FR	fra
ga	gle_Latn_IE	gle
gl	glg_Latn_ES	glg
hr	hrv_Latn_HR	hrv
hu	hun_Latn_HU	hun
is	isl_Latn_IS	isl
it	ita_Latn_IT	ita
ka	kat_Geor_GE	kat
lt	lit_Latn_LT	lit
lv	lav_Latn_LV	lav
mk	mkd_Cyrl_MK	mkd
mt	mlt_Latn_MT	mlt
nb	nob_Latn_NO	nob
nl	nld_Latn_NL	nld
nn	nno_Latn_NO	nno
pl	pol_Latn_PL	pol
pt	por_Latn_PT	por
ro	ron_Latn_RO	ron
sk	slk_Latn_SK	slk
sl	slv_Latn_SI	slv
sq	sqi_Latn_AL	sqi
sr_Cyrl	srp_Cyrl_RS	srp_Cyrl
sv	swe_Latn_SE	swe
tr	tur_Latn_TR	tur
uk	ukr_Cyrl_UA	ukr
